title,author,journal,volume,number,pages,year,cite_id,cites
Nonpertubative effects of primordial curvature perturbations on cosmological observables,"AE Romano, M Sasaki, AA Starobinsky",14th Marcel Grossman Meeting On Recent Developments in Theoretical and …,,,,2018,,
CARACTERIZACIÓN MAGNÉTICA E HIPERFINA DE LA TRANSFORMACIÓN TÉRMICA CuO-Fe2O3 A Fe3O4,"JD Betancur, J Restrepo, JJ Fernandez, O Perez",,,,,2018,,
El profesor de primaria: una reflexión sobre su papel en la inclusión del álgebra temprana en el currículo escolar,"SM Zapata, CMJ López, ZM Santa Ramírez",Revista Virtual Universidad Católica del Norte,,,269-295,2018,,
La estructura de digrupo generalizado,"OP Salazar-Diaz, R Velasquez",Revista MATUA ISSN: 2389-7422,4,(2),,2017,,
Dams effects on potamodromous Prochilodus magdalenae: evidence from endocrine response,"D De Fex-Wolf, S López-Casas, LF Jiménez-Segura, CM Pérez-Gallego",PeerJ Preprints,5,,e3490v1,2017,,
El reto inmunológico con promastigotes de Leishmania (Viannia) panamensis  en Galleria mellonella modula cambios en los perfiles de expresión de proteínas …,"IA Patiño-Márquez, M Manrique-Moreno, L Hernández-Villa, ...",Actualidades Biológicas,39,(107),14-23,2017,,
"Abel maps, linear series and their limits on curves",PH Rizzo,Revista Colombiana de Matemáticas,51,(2),119-152,2017,,
Galleria mellonella immunological challenge with Leishmania promastigotes triggers changes on the profile expression of low molecular weight proteins,"IA Patiño-Márquez, M Manrique-Moreno, L Hernández-Villa, ...",Actualidades Biológicas,39,(107),14-23,2017,,
Structural and ultrastructural characters of the gametogenesis of Chara hydropitys (Charophyceae),"E Javier Rincon-Baron, YM Castrillon Bolanos, G Andres Torres, ...",REVISTA DE BIOLOGIA TROPICAL,65,(4),1507-1526,2017,,
Caracteres estructurales y ultraestructurales de la gametogénesis de Chara hydropitys (Charophyceae),"EJ Rincón-Baron, YM Castrillón Bolaños, GA Torres, F Alzate Guarin, ...",Revista de Biología Tropical,65,(4),1507-1526,2017,,
High-resolution melting analysis based on specific genomic regions: A promising tool for the diagnosis and typing of species causing cutaneous leishmaniasis in Colombia,"J Marín, D Urrea, C Muskus, MC Echeverry, AM Mejía, O Triana",Biomédica,37,(4),538-547,2017,,
Propiedades piezoeléctricas del Pentóxido de Niobio y Pentóxido de Tantalio: un estudio desde primeros principios,"OM Giraldo-Giraldo, S Pérez-Walton, JM Osorio-Guillén",TecnoLógicas,20,(40),43-51,2017,,
"kfclin, fmsrQclin, Qmrs CORRECTION FACTORS OF PLASTIC SCINTILLATORS AND OTHER STEREOTACTIC DETECTORS FOR SUB-CENTIMETER PHOTON FIELDS USING MONTE CARLO","NH Machado, J Restrepo",Momento,,,1-25,2017,,
4.13. Efecto de la temperatura en la formación del carburo de hierro χ-Fe5C2 activo en la síntesis Fischer-Tropsch.,"J Pérez, F Mondragón, A Moreno",Simposio Colombiano de Catálisis-2017,,,,2017,,
Uma abordagem de óptica física e física moderna para Engenharia Ambiental,"HV Silveira, FAL Badillo",,,,,2017,,
"On geographic distribution and morphological variation of the poorly known lizard Anolis anoriensis Velasco, Gutiérrez-Cárdenas & Quintero-Angel, 2010 (Squamata: Dactyloidae)","JM Daza, CM Marín, JD Vásquez",Herpetology Notes,10,,643-645,2017,,
Effect of potential screening on the  autoionizing states,"AF Ordóñez-Lasso, JL Sanz-Vicario, F Martín",Physical Review A,96,(5),052503,2017,,
Indicadores de vinculación con el entorno para Unidades de Gestión de Investigación.(Universidad de Antioquia SIU. Estudio Piloto 2004-2016)(Indicators of Linkage with the …,"G Velez Cuartas, A Uribe-Tirado, J Robledo-Velásquez, D Restrepo, ...",,,,,2017,,
Line broadening in the 77 K 57 Fe-Mössbauer spectra of some ferrous iron-containing medicines,"CA Barrero, KE Garcia, JM Greneche",Hyperfine Interactions,238,(1),1-16,2017,,
"Cúrcuma, una alternativa para explorar","ZIM Fonnegra, AIU Trujillo, A Canal",Revista Experimenta,,,,2017,,
Wing sexual dimorphism in species and subspecies of tsetse flies,"FI Ebhodaghe, N Jaramillo-O",TROPICAL MEDICINE & INTERNATIONAL HEALTH,22,,142-142,2017,,
Sex identification of neotropical macaws (Ara spp.) from invasive and non-invasive samples,"LJ Franco-Gutiérrez, J Álvarez-Cardona, ID Soto-Calderón",Ornitologia Colombiana,,,,2017,,
FITSFH: Star Formation Histories,"E Silva-Villa, SS Larsen",Astrophysics Source Code Library,,,ascl: 1710.018,2017,,
Detección de enzimas extracelulares en cepas cubanas del complejo Metarhizium anisopliae con acción entomopatogénica contra Cylas formicarius Fabricius …,"Y Gato-Cárdenas, ME Márquez-Gutiérrez, Y Baró-Robaina, ...",Actualidades Biológicas,39,(106),71-78,2017,,
Biodiversity 2016. Status and Trends of Colombian Continental Biodiversity,"M Abud, C Agudelo, JR Aguilar-Cano, M Aguilar-Garavito, J Aguirre, ...",Suggested complete citation: Moreno,,,,2017,,
